otu	otu_total	otu_fraction_of_total	otu_fraction_cumulative	10n	10p	11n	11p	120n	120p	121n	121p	122n	122p	125n	125p	126n	126p	127n	13n	13p	140n	140p	141n	141p	142n	142p	155n	155p	156n	156p	157n	157p	15n	15p	165n	165p	166n	166p	167n	167p	1n	1p	2n	2p	3n	3p	5n	5p	7n	7p	9n	9p	tri01n	tri01p	tri02n	tri02p	tri03n	tri03p	Mothur_Taxo1	Mothur_Taxo2	Mothur_Taxo3	Mothur_Taxo4	Mothur_Taxo5	Mothur_Taxo6	Mothur_Taxo7	Mothur_Taxo8	Final_Taxo1	Final_Taxo2	Final_Taxo3	Final_Taxo4	Final_Taxo5	Final_Taxo6	Final_Taxo7	Final_Taxo8	BLAST_best_identity	BLAST_best_Accession	BLAST_best_Organism	BLAST_best_Description
Otu040	15101	0.00513	0.85222	1250	0	0	0	2	0	0	17	1660	0	0	0	1	0	0	2	1132	0	0	0	1	0	4	0	10590	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	11	3	415	0	0	0	0	3	0	0	6	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XX_unclassified		Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.995	JX291868	uncultured eukaryote	Uncultured eukaryote clone 7657BH1618_SP6 18S ribosomal RNA gene, partial sequence
Otu041	14875	0.00505	0.85727	1	0	0	1	2	1	0	5	4	1	0	0	3724	0	1	646	0	0	0	0	0	0	0	0	2	0	848	554	0	0	0	0	2793	3	3	4	0	0	2	3	0	0	3	2	2596	336	1	0	0	3333	1	3	0	2	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-I	Clade-I_X	Clade-I_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_I	Chrysophyceae_Clade_I_X		1.000	EF695207	uncultured eukaryote	Uncultured eukaryote isolate hotp1g9 18S ribosomal RNA gene, partial sequence
Otu042	13963	0.00474	0.86201	3	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	3	0	0	0	0	2	1	3327	0	1	10598	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	3	0	1	2	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp._strain27	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.989	EU500202	uncultured eukaryote	Uncultured eukaryote clone hotpCh1 18S ribosomal RNA gene, partial sequence
Otu043	11799	0.00401	0.86602	2818	0	0	0	8969	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	Eukaryota	Hacrobia	Haptophyta	Clade_HAP3	Clade_HAP3	Clade_HAP3	Clade_HAP3	Clade_HAP3	Eukaryota	Hacrobia	Haptophyta	Haptophyta_HAP3	Haptophyta_HAP3	Haptophyta_HAP3	Haptophyta_HAP3_X		0.992	JX680342	uncultured haptophyte	Uncultured haptophyte clone Ma135-Pav3-C1 18S ribosomal RNA gene, partial sequence
Otu044	11744	0.00399	0.87001	1596	0	3	0	2	0	7	0	8	3	2	2484	1815	0	1355	0	0	0	0	0	1	2	0	4018	2	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	430	0	0	3	3	0	2	0	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade-B.E.3	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_bravo	1.000	AY425316	Micromonas pusilla	Micromonas pusilla small subunit ribosomal RNA gene, partial sequence
Otu045	10947	0.00372	0.87373	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	10915	0	3	0	0	4	0	2	3	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Borokales	Borokaceae	Borokaceae_X	Borokaceae_X_sp.	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Borokales	Borokaceae	Borokaceae_X		0.997	DQ781330	uncultured marine eukaryote	Uncultured marine eukaryote clone AD401 18S ribosomal RNA gene, partial sequence
Otu046	10507	0.00357	0.87729	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	2	8776	4	4	1709	1	3	0	0	0	0	0	0	0	1	0	0	Eukaryota	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified		Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae			Chlorophyceae_X		0.872	AB701520	Chlamydomonas sp. NIES-2315	Chlamydomonas sp. NIES-2315 gene for 18S ribosomal RNA, partial sequence
Otu047	10461	0.00355	0.88085	0	0	0	779	1	0	3	2460	0	1	0	0	561	0	0	1192	0	0	0	0	0	0	0	0	0	2	2106	218	0	2147	0	0	0	0	2	0	0	2	3	0	0	1	0	0	4	641	0	338	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinellales_X	Pedinellales_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinellales_X		1.000	JX291705	uncultured eukaryote	Uncultured eukaryote clone 7656BH1042_SP6 18S ribosomal RNA gene, partial sequence
Otu048	10296	0.00350	0.88434	4	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	10261	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Chrysophyceae-Synurophyceae_X_unclassified	Chrysophyceae-Synurophyceae_X_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_X	Chrysophyceae_X		0.983	AY937801	uncultured eukaryote	Uncultured eukaryote clone ENI40076.00661 18S ribosomal RNA gene, partial sequence
Otu049	10186	0.00346	0.88780	0	0	0	2170	1	2	0	6430	3	0	0	1548	1	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	5	0	2	0	0	0	4	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH-2	MOCH-2_X	MOCH-2_XX	MOCH-2_XX_sp.	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH_2	MOCH_2_X	MOCH_2_X		1.000	KR064002	uncultured eukaryote	Uncultured eukaryote clone St4_DCM_31-55_502f 18S ribosomal RNA gene, partial sequence
Otu050	9964	0.00338	0.89119	2	0	0	0	4	0	0	0	0	0	0	0	2401	0	0	0	0	1	3	0	0	3348	0	127	0	0	0	0	0	0	0	4	0	0	451	1	3614	0	0	0	0	4	0	0	0	0	0	0	1	0	0	2	0	1	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-H	Clade-H_X	Clade-H_X_sp._strain9	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_H	Chrysophyceae_Clade_H_X		0.997	EU561700	uncultured marine eukaryote	Uncultured marine eukaryote clone IND31.27 18S ribosomal RNA gene, partial sequence
Otu051	9792	0.00333	0.89451	74	59	0	169	305	0	6	483	0	8	40	63	69	0	50	0	15	1347	62	0	344	0	10	4522	6	0	9	0	0	149	3	0	0	0	95	0	0	548	0	0	0	0	0	0	238	0	4	21	0	5	1	934	144	8	1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes	Malassezia	Malassezia_globosa	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes	Malassezia		0.997	KC672369	uncultured fungus	Uncultured fungus clone nco136e11c1 18S ribosomal RNA gene, partial sequence
Otu052	9071	0.00308	0.89759	3	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1182	3	7868	2	1	1	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Allium	Allium_sativum	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Allium	Allium_sativum	1.000	JF719285	Allium sativum	Allium sativum 18S ribosomal RNA gene, partial sequence
Otu053	9006	0.00306	0.90065	6651	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	2333	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-I	Clade-I_X	Clade-I_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_I	Chrysophyceae_Clade_I_X		1.000	AY046860	uncultured eukaryote	Uncultured eukaryote isolate C3_E031 18S ribosomal RNA gene, partial sequence
Otu054	8881	0.00302	0.90367	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	8853	0	5	0	0	0	0	0	0	0	3	0	0	0	6	2	2	3	3	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH-5	MOCH-5_X	MOCH-5_XX	MOCH-5_XX_sp.	Eukaryota	Stramenopiles	Stramenopiles_X	MOCH	MOCH_5	MOCH_5_X	MOCH_5_X		1.000	JQ243123	uncultured eukaryote	Uncultured eukaryote clone H04_120P134_0239JSNP001F_P8 18S ribosomal RNA gene, partial sequence
Otu055	8696	0.00295	0.90662	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8684	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_unclassified	Prymnesiales_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_X	Prymnesiales_X		0.950	AM491022	Chrysocampanula spinifera	Chrysochromulina spinifera partial 18S rRNA gene, strain PLY 328
Otu056	8135	0.00276	0.90938	0	6374	1	3	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1742	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		1.000	HM474520	uncultured dinoflagellate	Uncultured dinoflagellate clone T52_W01D.017 18S ribosomal RNA gene, partial sequence
Otu057	8028	0.00273	0.91211	0	0	2	0	0	0	0	0	3	1123	812	596	0	0	421	0	1	0	0	0	0	1	0	5063	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Apium	Apium_graveolens	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Apium	Apium_graveolens	0.997	JF703099	Apium graveolens	Apium graveolens 18S ribosomal RNA gene, partial sequence
Otu058	7959	0.00270	0.91481	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	5033	0	0	0	0	0	0	0	1	2352	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	556	0	0	3	5	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Calcidiscaceae_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Oolithus		0.997	AM491026	Oolithotus fragilis	Oolithotus fragilis partial 18S rRNA gene, strain ALGO AS641
Otu059	7811	0.00265	0.91747	0	0	0	2	0	1	0	9	0	1	0	3	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	4	0	0	608	2	1141	2	0	1671	1	4358	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pseudo-nitzschia		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Pseudo_nitzschia		1.000	KF733562	uncultured marine eukaryote	Uncultured marine eukaryote clone XZZ-W-13 18S small subunit ribosomal RNA gene, partial sequence
Otu060	7175	0.00244	0.91990	0	473	0	0	0	6699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastigaceae_unclassified		Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastix		1.000	AY937833	uncultured eukaryote	Uncultured eukaryote clone ENI40076.00719 18S ribosomal RNA gene, partial sequence
Otu061	6638	0.00225	0.92216	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6627	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp._strain2	Eukaryota	Alveolata	Dinophyta	Syndiniales	Syndiniales_Group_III	Syndiniales_Group_III_X	Syndiniales_Group_III_X		0.987	AY664993	uncultured eukaryote	Uncultured eukaryote clone SCM15C23 18S ribosomal RNA gene, partial sequence
Otu062	6583	0.00224	0.92439	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	0	0	2	0	4016	0	1772	0	0	0	0	0	0	0	1	0	0	Eukaryota	Archaeplastida	Chlorophyta	Pyramimonadales	Pyramimonadales_X	Pyramimonadales_XX	Pyramimonas	Pyramimonas_australis	Eukaryota	Archaeplastida	Chlorophyta	Pyramimonadales	Pyramimonadales_X	Pyramimonadales_XX	Pyramimonas		1.000	EU734096	uncultured eukaryote	Uncultured eukaryote clone 1_B04 small subunit ribosomal RNA gene, partial sequence
Otu063	6405	0.00218	0.92657	0	0	0	0	0	0	0	0	6382	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Haptophyta	Haptophyta	Haptophyta	Haptophyta	Haptophyta	Eukaryota	Hacrobia	Haptophyta	Haptophyta_X	Haptophyta_X	Haptophyta_X	Haptophyta_X		1.000	HG970975	Haptophyceae sp. EE-2014	Haptophyceae sp. EE-2014 partial 18S rRNA gene, strain CG5
Otu064	6200	0.00211	0.92867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6177	0	2	0	0	0	0	0	0	0	0	0	0	0	1	6	0	3	6	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Saccharomycetales_unclassified		Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Saccharomycetales_unclassified		0.994	AB018165	[Candida] gotoi	Candida gotoi gene for 18S rRNA, partial sequence
Otu065	6099	0.00207	0.93074	164	0	0	0	729	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	4528	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	669	0	1	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Clade_B3	Clade_B3	Clade_B3	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_Clade_B3	Prymnesiales_Clade_B3_X		1.000	EF173004	uncultured eukaryote	Uncultured eukaryote clone F01N5 18S ribosomal RNA gene, partial sequence
Otu066	5438	0.00185	0.93259	0	38	0	0	0	426	0	0	92	1	0	262	91	0	0	58	0	0	1	271	392	1076	1700	0	1	0	0	0	783	0	1	6	0	180	0	0	0	9	0	0	0	0	0	0	0	48	0	0	2	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Clade_D	Clade_D	Clade_D	Clade_D	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_Clade_D	Prymnesiophyceae_Clade_D_X	Prymnesiophyceae_Clade_D_X		1.000	KJ762902	uncultured eukaryote	Uncultured eukaryote clone SGUH1172 18S ribosomal RNA gene, partial sequence
Otu067	5237	0.00178	0.93437	0	0	0	0	0	0	0	0	1720	0	1	0	0	89	0	3	0	0	0	1	0	0	1	0	0	2	0	1796	0	26	0	0	1	0	291	2	0	1	0	360	0	0	927	0	1	1	0	14	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		1.000	HQ864998	uncultured eukaryote	Uncultured eukaryote clone SGPX582 18S ribosomal RNA gene, partial sequence
Otu068	5097	0.00173	0.93610	0	0	1	0	0	0	1031	0	0	0	0	0	0	0	0	0	2957	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	1098	1	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XX_unclassified		Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.974	KJ759634	uncultured eukaryote	Uncultured eukaryote clone SGYO721 18S ribosomal RNA gene, partial sequence
Otu069	5020	0.00170	0.93781	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2691	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1891	0	83	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina		1.000	KU743744	uncultured eukaryote	Uncultured eukaryote clone 07B03P26 small subunit ribosomal RNA gene, partial sequence
Otu070	4908	0.00167	0.93947	0	0	0	0	0	0	0	0	0	201	0	3	0	0	0	0	0	0	1	0	3115	0	0	1	1	0	0	307	0	0	2	0	0	0	0	0	0	1	0	274	2	0	0	0	996	0	0	0	2	0	2	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Raphid-pennate_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Bacillariophyceae_X		0.995	GU823641	uncultured stramenopile	Uncultured stramenopile clone BCB5F13RM2D10 18S ribosomal RNA gene, partial sequence
Otu071	4887	0.00166	0.94113	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4881	0	0	0	0	0	0	0	0	0	2	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp/P._quinquecorne_endosymbiont	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Chaetoceros		1.000	KM401853	Chaetoceros dayaensis	Chaetoceros dayaensis strain MC107L 18S small subunit ribosomal RNA gene, partial sequence
Otu072	4877	0.00166	0.94279	1	7	0	0	0	70	0	0	0	0	0	21	20	0	0	43	67	0	0	0	0	0	0	0	218	0	46	78	0	11	0	0	0	11	0	0	0	0	104	42	0	0	0	0	0	31	36	4	0	0	0	3787	279	0	1	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_unclassified	Prymnesiales_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiales_X	Prymnesiales_X		0.995	KF129663	uncultured eukaryote	Uncultured eukaryote clone ST3500.080 18S ribosomal RNA gene, partial sequence
Otu073	4863	0.00165	0.94444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4613	1	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X	Pelagophyceae_XX	Pelagophyceae_XXX	Pelagophyceae_XXX_sp.	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagophyceae_X	Pelagophyceae_X	Pelagophyceae_X		0.972	DQ062505	uncultured marine eukaryote	Uncultured marine eukaryote clone NW414.30 18S ribosomal RNA gene, partial sequence
Otu074	4595	0.00156	0.94600	0	0	0	0	0	0	0	0	0	2	0	208	0	0	0	0	11	0	23	22	33	0	0	11	0	0	0	0	0	0	0	30	0	3	0	1	10	1304	1024	209	1	12	1660	0	1	0	28	0	0	2	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Thalassiosira	Thalassiosira_rotula	1.000	AF374480	Thalassiosira rotula	Thalassiosira rotula 18S ribosomal RNA gene, partial sequence
Otu075	4579	0.00156	0.94756	0	0	0	1	4	0	0	0	4	0	0	1	3689	0	3	0	0	0	0	0	0	0	0	0	4	0	0	170	1	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	3	0	689	1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Nitzschia		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Nitzschia		1.000	AY937846	uncultured eukaryote	Uncultured eukaryote clone ENI40076.00738 18S ribosomal RNA gene, partial sequence
Otu076	4338	0.00147	0.94903	0	0	0	0	3	0	0	0	4	0	0	0	4321	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-H	Clade-H_X	Clade-H_X_sp._strain7	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_H	Chrysophyceae_Clade_H_X		1.000	HQ867516	uncultured eukaryote	Uncultured eukaryote clone SHAH501 18S ribosomal RNA gene, partial sequence
Otu077	4283	0.00145	0.95048	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	4278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_X		0.969	KX532499	uncultured marine eukaryote	Uncultured marine eukaryote clone o10.75_111 18S ribosomal RNA gene, partial sequence
Otu078	4187	0.00142	0.95191	1	107	0	287	0	1254	1	759	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	40	0	1	0	0	0	0	0	0	0	840	0	96	213	0	26	0	0	0	0	0	0	1	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis		0.997	EF695123	uncultured eukaryote	Uncultured eukaryote isolate hotp2a4 18S ribosomal RNA gene, partial sequence
Otu079	4173	0.00142	0.95332	0	0	0	0	0	0	0	0	4154	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-16	Dino-Group-II-Clade-16_X	Dino-Group-II-Clade-16_X_sp.	Eukaryota	Alveolata	Dinophyta	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II_Clade_16	Syndiniales_Group_II_Clade_16_X		0.991	DQ918414	uncultured marine eukaryote	Uncultured marine eukaryote clone ENVP21819.00333 18S ribosomal RNA gene, partial sequence
Otu080	3981	0.00135	0.95467	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3112	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	859	1	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_didymus	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Mediophyceae	Mediophyceae_X	Chaetoceros	Chaetoceros_didymus	0.997	HQ710553	Chaetoceros didymus	Chaetoceros didymus voucher KMCC-B-170 18S ribosomal RNA (ssu) gene, partial sequence
